"station_id","station_name","latitude","longitude","year_num","month_num","month_name","num_days","monthly_avg_temperature_f","monthly_max_temperature_f","monthly_min_temperature_f","monthly_total_precipitation_in"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","1","January","31","5.10","16.20","-4.80","0.55"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","2","February","28","10.15","23.90","-3.50","0.44"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","3","March","31","22.90","41.20","6.10","0.72"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","4","April","30","40.55","60.00","22.60","0.98"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","5","May","31","53.64","70.20","36.00","2.49"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","6","June","30","63.21","77.40","47.70","3.76"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","7","July","31","67.85","80.50","55.50","3.22"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","8","August","31","66.54","80.50","50.40","2.75"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","9","September","30","56.15","74.90","37.40","2.08"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","10","October","31","42.05","61.20","24.80","1.69"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","11","November","30","25.10","43.30","8.40","0.81"
"GHCND:USC00327027","PETERSBURG 2 N ND US","48.035500","-98.010000","2010","12","December","31","10.10","24.40","-3.10","0.73"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","1","January","31","50.80","57.70","44.70","4.18"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","2","February","28","52.55","59.10","45.70","4.10"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","3","March","31","53.25","59.10","47.10","2.63"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","4","April","30","53.95","59.30","48.00","1.18"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","5","May","31","55.05","60.00","49.70","0.64"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","6","June","30","56.65","61.30","51.60","0.21"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","7","July","31","57.75","61.90","53.30","0.01"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","8","August","31","59.05","63.50","54.80","0.05"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","9","September","30","59.31","64.20","54.10","0.10"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","10","October","31","58.70","64.70","51.30","1.06"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","11","November","30","55.20","64.00","46.60","2.55"
"GHCND:USC00047767","SAN FRANCISCO OCEANSD CA US","37.728000","-122.505200","2010","12","December","31","51.05","58.60","44.70","3.97"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","1","January","31","42.96","50.20","36.50","5.47"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","2","February","28","44.26","52.90","36.90","3.52"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","3","March","31","47.55","57.60","37.90","3.85"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","4","April","30","51.41","62.50","41.30","2.79"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","5","May","31","57.30","68.40","45.50","2.01"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","6","June","30","61.99","73.20","51.70","1.57"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","7","July","31","66.15","77.20","55.00","0.85"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","8","August","31","66.60","77.20","55.80","0.94"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","9","September","30","61.95","74.30","50.00","1.30"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","10","October","31","53.75","65.90","44.00","3.38"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","11","November","30","46.50","55.90","37.30","5.98"
"GHCND:USW00024281","SEATTLE URBAN SITE WA US","47.650000","-122.300000","2010","12","December","31","41.45","48.80","35.50","6.06"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","1","January","31","28.40","36.50","20.90","2.70"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","2","February","28","31.15","42.90","21.40","2.39"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","3","March","31","39.60","55.60","25.50","2.95"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","4","April","30","50.95","66.60","35.40","3.11"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","5","May","31","60.05","74.90","44.90","3.95"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","6","June","30","68.75","82.10","54.20","4.30"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","7","July","31","72.66","82.70","61.90","3.83"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","8","August","31","71.45","82.20","59.20","3.48"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","9","September","30","64.15","79.40","48.30","3.11"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","10","October","31","52.75","68.00","38.80","2.29"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","11","November","30","42.95","57.20","30.20","3.23"
"GHCND:USW00094823","PITTSBURGH INTL AP PA US","40.484590","-80.214480","2010","12","December","31","32.35","44.30","21.90","2.85"
